0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142
1211.0,227.0,587.0,373.0,177.0,611.0,477.0,1644.0,885.0,1048.0,850.0,842.0,2201.0,745.0,790.0,145.0,445.0,2398.0,372.0,1344.0,1259.0,415.0,373.0,1470.0,798.0,3589.0,1295.0,1809.0,580.0,666.0,1450.0,795.0,621.0,772.0,387.0,660.0,1657.0,425.0,569.0,1651.0,1041.0,337.0,868.0,1144.0,495.0,892.0,1915.0,1542.0,645.0,1080.0,1090.0,870.0,465.0,796.0,2199.0,589.0,900.0,826.0,285.0,2307.0,938.0,624.0,1114.0,884.0,1489.0,397.0,2185.0,905.0,440.0,730.0,599.0,879.0,538.0,2232.0,1370.0,756.0,1343.0,935.0,861.0,654.0,1524.0,1268.0,1731.0,652.0,1388.0,339.0,1436.0,518.0,2044.0,1423.0,1673.0,448.0,261.0,1342.0,1372.0,849.0,961.0,1363.0,569.0,899.0,1155.0,976.0,2545.0,2261.0,563.0,1204.0,1063.0,380.0,594.0,533.0,1059.0,1040.0,1148.0,484.0,258.0,439.0,244.0,453.0,836.0,258.0,387.0,234.0,506.0,141.0,214.0,282.0,131.0,254.0,140.0,287.0,97.0,251.0,69.0,274.0,73.0,230.0,122.0,190.0,141.0,172.0,173.0,106.0,244.0
366.0,1010.0,166.0,1238.0,1020.0,840.0,1643.0,615.0,1771.0,315.0,2476.0,320.0,3047.0,1366.0,929.0,1187.0,1297.0,846.0,754.0,2263.0,291.0,1044.0,1582.0,623.0,754.0,1091.0,964.0,832.0,996.0,899.0,1093.0,1739.0,527.0,1603.0,3191.0,815.0,2208.0,440.0,1324.0,229.0,440.0,3431.0,1039.0,3070.0,290.0,1433.0,329.0,1700.0,302.0,793.0,691.0,617.0,1974.0,346.0,1468.0,441.0,1387.0,1055.0,586.0,2175.0,313.0,1253.0,593.0,1220.0,1339.0,467.0,1694.0,1098.0,573.0,1817.0,601.0,326.0,1768.0,975.0,462.0,1000.0,1284.0,1219.0,319.0,1433.0,539.0,1148.0,1534.0,291.0,1995.0,705.0,2045.0,318.0,3279.0,749.0,1702.0,111.0,923.0,722.0,2381.0,1940.0,784.0,859.0,663.0,592.0,425.0,814.0,631.0,1216.0,419.0,1437.0,1459.0,495.0,188.0,397.0,83.0,405.0,226.0,1855.0,705.0,458.0,148.0,192.0,156.0,130.0,197.0,97.0,254.0,90.0,258.0,51.0,304.0,50.0,285.0,93.0,231.0,98.0,186.0,138.0,141.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536.0,525.0,1574.0,395.0,1031.0,696.0,399.0,582.0,1709.0,1087.0,1029.0,957.0,288.0,1187.0,1920.0,1345.0,1509.0,395.0,1420.0,1626.0,512.0,559.0,1001.0,1735.0,710.0,642.0,1563.0,325.0,820.0,677.0,936.0,1415.0,1750.0,1710.0,936.0,1501.0,750.0,776.0,465.0,401.0,810.0,442.0,1090.0,610.0,1574.0,746.0,620.0,766.0,967.0,1864.0,173.0,1040.0,358.0,2208.0,1216.0,1088.0,599.0,936.0,1504.0,115.0,1723.0,850.0,1243.0,1587.0,539.0,712.0,1781.0,1965.0,950.0,872.0,1843.0,379.0,1544.0,1542.0,1519.0,1649.0,219.0,528.0,1752.0,1186.0,743.0,859.0,870.0,383.0,969.0,457.0,2291.0,481.0,2228.0,756.0,1015.0,673.0,1266.0,301.0,2639.0,479.0,1087.0,399.0,506.0,341.0,831.0,1890.0,532.0,1213.0,498.0,602.0,1161.0,411.0,747.0,892.0,383.0,271.0,246.0,682.0,360.0,199.0,675.0,117.0,257.0,146.0,345.0,147.0,137.0,208.0,142.0,206.0,107.0,225.0,78.0,274.0,58.0,278.0,110.0,254.0,85.0,238.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
1542.0,248.0,917.0,794.0,344.0,235.0,675.0,578.0,2186.0,877.0,1397.0,201.0,444.0,2585.0,602.0,897.0,485.0,600.0,2345.0,1266.0,222.0,1637.0,122.0,1276.0,294.0,716.0,771.0,2050.0,279.0,1328.0,2018.0,673.0,1281.0,329.0,618.0,1504.0,428.0,653.0,1942.0,295.0,1913.0,243.0,2671.0,643.0,932.0,762.0,554.0,1676.0,166.0,1465.0,3100.0,691.0,1457.0,673.0,1126.0,2343.0,861.0,963.0,1109.0,753.0,281.0,1657.0,424.0,600.0,806.0,491.0,814.0,716.0,2091.0,1117.0,667.0,1046.0,439.0,780.0,691.0,802.0,1134.0,632.0,917.0,398.0,384.0,1741.0,610.0,1217.0,432.0,314.0,605.0,681.0,652.0,636.0,473.0,522.0,1113.0,273.0,654.0,660.0,386.0,435.0,872.0,618.0,579.0,229.0,636.0,313.0,416.0,82.0,311.0,72.0,251.0,130.0,253.0,128.0,178.0,157.0,136.0,227.0,94.0,251.0,67.0,244.0,92.0,267.0,57.0,248.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0,171.0,375.0,424.0,1539.0,660.0,695.0,1266.0,388.0,1230.0,1112.0,1488.0,198.0,414.0,297.0,1568.0,539.0,1573.0,735.0,778.0,363.0,402.0,1718.0,843.0,1331.0,750.0,1603.0,612.0,720.0,390.0,705.0,739.0,1533.0,861.0,606.0,1204.0,584.0,1239.0,1137.0,451.0,632.0,608.0,608.0,479.0,710.0,1484.0,386.0,786.0,469.0,1876.0,456.0,1479.0,796.0,729.0,780.0,691.0,943.0,906.0,455.0,1943.0,613.0,533.0,731.0,1505.0,1423.0,1738.0,788.0,579.0,920.0,1000.0,334.0,1248.0,1003.0,1262.0,416.0,1230.0,967.0,946.0,1460.0,1027.0,1064.0,1349.0,857.0,1138.0,1474.0,80.0,1057.0,342.0,522.0,1643.0,760.0,500.0,897.0,169.0,715.0,152.0,617.0,750.0,251.0,1038.0,631.0,653.0,126.0,432.0,198.0,421.0,738.0,202.0,260.0,908.0,436.0,440.0,224.0,145.0,274.0,106.0,263.0,68.0,251.0,85.0,259.0,78.0,256.0,87.0,223.0,144.0,207.0,137.0,138.0,212.0,108.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427.0,169.0,420.0,151.0,341.0,1124.0,76.0,1626.0,321.0,1023.0,731.0,1228.0,679.0,1212.0,708.0,323.0,1099.0,585.0,1399.0,439.0,1113.0,333.0,552.0,939.0,1701.0,1076.0,1205.0,963.0,874.0,1351.0,1140.0,449.0,1386.0,838.0,1622.0,1430.0,1112.0,719.0,1132.0,889.0,1147.0,196.0,1586.0,207.0,490.0,743.0,1240.0,2033.0,694.0,944.0,1417.0,654.0,842.0,1071.0,1385.0,349.0,2967.0,732.0,716.0,769.0,704.0,1748.0,537.0,475.0,1243.0,1567.0,1407.0,755.0,789.0,1240.0,887.0,995.0,1764.0,467.0,701.0,1036.0,559.0,1288.0,1145.0,696.0,690.0,1242.0,834.0,504.0,514.0,1444.0,1405.0,702.0,1239.0,728.0,2046.0,1010.0,309.0,504.0,636.0,729.0,1046.0,1334.0,611.0,619.0,772.0,566.0,374.0,1110.0,413.0,577.0,124.0,1127.0,190.0,495.0,185.0,223.0,183.0,112.0,205.0,104.0,220.0,77.0,259.0,96.0,325.0,101.0,261.0,79.0,221.0,125.0,176.0,130.0,149.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354.0,355.0,1018.0,260.0,812.0,228.0,347.0,781.0,425.0,826.0,581.0,447.0,637.0,2595.0,408.0,2038.0,1130.0,2657.0,3111.0,1231.0,924.0,956.0,3436.0,281.0,3896.0,666.0,964.0,396.0,1482.0,371.0,1666.0,1475.0,1687.0,1581.0,508.0,732.0,502.0,886.0,1070.0,947.0,1249.0,1616.0,1794.0,723.0,1632.0,1005.0,1406.0,641.0,1033.0,602.0,501.0,441.0,2471.0,783.0,852.0,434.0,1550.0,127.0,1028.0,1199.0,577.0,1030.0,394.0,602.0,697.0,472.0,1967.0,1160.0,444.0,1405.0,431.0,2411.0,950.0,814.0,307.0,671.0,754.0,1348.0,1190.0,1336.0,1466.0,1260.0,485.0,654.0,3294.0,1161.0,1704.0,775.0,913.0,1477.0,1164.0,360.0,805.0,918.0,552.0,773.0,404.0,1448.0,284.0,378.0,185.0,331.0,456.0,564.0,266.0,309.0,276.0,388.0,156.0,274.0,155.0,361.0,148.0,142.0,223.0,95.0,227.0,108.0,241.0,88.0,262.0,56.0,259.0,118.0,246.0,82.0,244.0,107.0,181.0,159.0,127.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361.0,99.0,303.0,62.0,822.0,122.0,1646.0,221.0,848.0,1047.0,877.0,981.0,308.0,1944.0,726.0,1929.0,1845.0,3359.0,1142.0,2011.0,1358.0,463.0,1761.0,824.0,337.0,1542.0,908.0,2404.0,313.0,1431.0,1563.0,1034.0,981.0,491.0,477.0,1197.0,668.0,410.0,1959.0,1762.0,1245.0,881.0,412.0,461.0,2730.0,332.0,1303.0,605.0,908.0,929.0,413.0,484.0,221.0,2543.0,1153.0,1023.0,764.0,657.0,572.0,485.0,886.0,554.0,1059.0,1512.0,1129.0,619.0,2530.0,1528.0,947.0,1250.0,372.0,1055.0,548.0,1679.0,1358.0,124.0,773.0,525.0,1447.0,1144.0,615.0,779.0,1026.0,1390.0,869.0,595.0,701.0,582.0,1671.0,1364.0,1539.0,1035.0,725.0,290.0,1757.0,1161.0,1043.0,1521.0,544.0,618.0,694.0,1649.0,761.0,474.0,769.0,495.0,366.0,357.0,521.0,568.0,1301.0,235.0,503.0,420.0,99.0,278.0,109.0,247.0,111.0,264.0,99.0,215.0,166.0,164.0,173.0,122.0,227.0,119.0,231.0,75.0,238.0,87.0,248.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509.0,170.0,363.0,128.0,1450.0,182.0,1052.0,691.0,932.0,866.0,745.0,530.0,762.0,842.0,334.0,1327.0,292.0,1443.0,241.0,1325.0,1442.0,874.0,603.0,377.0,2008.0,876.0,860.0,1928.0,1509.0,1430.0,373.0,1181.0,2045.0,522.0,808.0,846.0,643.0,490.0,1037.0,238.0,1655.0,785.0,1874.0,635.0,1362.0,578.0,422.0,606.0,321.0,1575.0,485.0,1977.0,938.0,1963.0,634.0,685.0,688.0,1643.0,908.0,1252.0,662.0,1271.0,1597.0,489.0,446.0,1451.0,2503.0,357.0,1915.0,666.0,1347.0,636.0,405.0,280.0,2034.0,689.0,774.0,553.0,1174.0,840.0,457.0,550.0,745.0,217.0,629.0,1404.0,811.0,1532.0,393.0,533.0,272.0,1691.0,354.0,447.0,787.0,371.0,491.0,216.0,290.0,102.0,408.0,266.0,252.0,159.0,379.0,144.0,226.0,95.0,220.0,143.0,168.0,194.0,97.0,206.0,96.0,260.0,52.0,287.0,54.0,267.0,62.0,240.0,75.0,212.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713.0,115.0,541.0,142.0,617.0,697.0,361.0,2073.0,400.0,2955.0,1346.0,1240.0,1830.0,1144.0,1003.0,574.0,977.0,888.0,747.0,2030.0,864.0,1272.0,627.0,928.0,947.0,585.0,1695.0,2108.0,1492.0,584.0,1063.0,1739.0,370.0,923.0,918.0,482.0,1788.0,2052.0,759.0,1125.0,1064.0,404.0,544.0,683.0,1221.0,1463.0,2786.0,529.0,655.0,1193.0,786.0,1009.0,517.0,1331.0,666.0,690.0,600.0,1506.0,484.0,2063.0,820.0,996.0,795.0,963.0,616.0,724.0,1257.0,802.0,1998.0,223.0,1925.0,456.0,1265.0,609.0,300.0,904.0,487.0,1668.0,1457.0,680.0,1032.0,999.0,1322.0,841.0,1197.0,1010.0,1801.0,535.0,907.0,398.0,2773.0,674.0,1483.0,673.0,515.0,655.0,652.0,1859.0,1217.0,502.0,543.0,726.0,463.0,270.0,245.0,172.0,223.0,145.0,194.0,173.0,199.0,325.0,79.0,282.0,77.0,272.0,84.0,338.0,99.0,289.0,72.0,228.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
